Mongbalu,2026-05-14,ND
Mongbalu,2026-05-15,ND
Rwampara,2026-05-15,72
Bunia,2026-05-15,8
Mongbalu,2026-05-18,302
Rwampara,2026-05-18,136
Bunia,2026-05-18,61
Nyakunde,2026-05-18,14
Goma,2026-05-18,1
Katwa,2026-05-18,1
Butembo,2026-05-18,1
Mongbalu,2026-05-19,309
Rwampara,2026-05-19,154
Bunia,2026-05-19,90
Nyakunde,2026-05-19,19
Goma,2026-05-19,1
Katwa,2026-05-19,1
Butembo,2026-05-19,1
Mongbalu,2026-05-20,317
Rwampara,2026-05-20,179
Bunia,2026-05-20,125
Nyakunde,2026-05-20,28
Goma,2026-05-20,1
Katwa,2026-05-20,13
Butembo,2026-05-20,7
Bambu,2026-05-20,2
Mongbalu,2026-05-21,322
Rwampara,2026-05-21,193
Bunia,2026-05-21,166
Nyakunde,2026-05-21,38
Goma,2026-05-21,1
Katwa,2026-05-21,13
Butembo,2026-05-21,7
Bambu,2026-05-21,2
Nizi,2026-05-21,1
Kilo,2026-05-21,1
Miti-Murhesa,2026-05-21,1
Mongbalu,2026-05-22,339
Rwampara,2026-05-22,221
Bunia,2026-05-22,227
Nyakunde,2026-05-22,45
Goma,2026-05-22,1
Katwa,2026-05-22,13
Butembo,2026-05-22,7
Bambu,2026-05-22,4
Nizi,2026-05-22,5
Kilo,2026-05-22,6
Miti-Murhesa,2026-05-22,1
Aru,2026-05-22,3
Mongbalu,2026-05-23,339
Rwampara,2026-05-23,228
Bunia,2026-05-23,249
Nyakunde,2026-05-23,45
Goma,2026-05-23,1
Katwa,2026-05-23,13
Butembo,2026-05-23,7
Bambu,2026-05-23,6
Nizi,2026-05-23,6
Kilo,2026-05-23,6
Miti-Murhesa,2026-05-23,1
Aru,2026-05-23,4
Mongbalu,2026-05-24,339
Rwampara,2026-05-24,228
Bunia,2026-05-24,249
Nyakunde,2026-05-24,45
Goma,2026-05-24,0
Katwa,2026-05-24,0
Butembo,2026-05-24,7
Bambu,2026-05-24,6
Nizi,2026-05-24,6
Kilo,2026-05-24,8
Miti-Murhesa,2026-05-24,1
Aru,2026-05-24,4
Mongbalu,2026-05-25,364
Rwampara,2026-05-25,240
Bunia,2026-05-25,270
Nyankunde,2026-05-25,66
Goma,2026-05-25,0
Katwa,2026-05-25,13
Butembo,2026-05-25,7
Bambu,2026-05-25,6
Nizi,2026-05-25,9
Kilo,2026-05-25,18
Miti-Murhesa,2026-05-25,1
Aru,2026-05-25,4
Oicha,2026-05-25,ND
Kalunguta,2026-05-25,ND
Karisimbi,2026-05-25,ND
Mongbalu,2026-05-26,375
Rwampara,2026-05-26,240
Bunia,2026-05-26,279
Nyankunde,2026-05-26,70
Goma,2026-05-26,0
Butembo,2026-05-26,10
Bambu,2026-05-26,10
Nizi,2026-05-26,15
Kilo,2026-05-26,18
Miti-Murhesa,2026-05-26,1
Aru,2026-05-26,4
Oicha,2026-05-26,8
Kalunguta,2026-05-26,2
Karisimbi,2026-05-26,5
Damas,2026-05-26,4
Fataki,2026-05-26,1
Mambasa,2026-05-26,5
Rimba,2026-05-26,14
Kyondo,2026-05-26,3
Mongbalu,2026-05-27,339
Rwampara,2026-05-27,228
Bunia,2026-05-27,249
Nyankunde,2026-05-27,45
Goma,2026-05-27,0
Butembo,2026-05-27,7
Bambu,2026-05-27,6
Nizi,2026-05-27,6
Kilo,2026-05-27,8
Miti-Murhesa,2026-05-27,1
Aru,2026-05-27,4
Oicha,2026-05-27,0
Kalunguta,2026-05-27,13
Karisimbi,2026-05-27,ND
Damas,2026-05-27,ND
Fataki,2026-05-27,ND
Mambasa,2026-05-27,ND
Rimba,2026-05-27,ND
Kyondo,2026-05-27,ND
Mongbalu,2026-05-28,346
Rwampara,2026-05-28,241
Bunia,2026-05-28,268
Nyankunde,2026-05-28,52
Goma,2026-05-28,0
Butembo,2026-05-28,7
Bambu,2026-05-28,14
Nizi,2026-05-28,6
Kilo,2026-05-28,8
Miti-Murhesa,2026-05-28,1
Aru,2026-05-28,4
Oicha,2026-05-28,0
Kalunguta,2026-05-28,13
Karisimbi,2026-05-28,ND
Damas,2026-05-28,1
Fataki,2026-05-28,ND
Mambasa,2026-05-28,ND
Rimba,2026-05-28,ND
Kyondo,2026-05-28,ND
Jiba,2026-05-28,2
Gethy,2026-05-28,3
Mongbalu,2026-05-29,346
Rwampara,2026-05-29,241
Bunia,2026-05-29,268
Nyankunde,2026-05-29,52
Goma,2026-05-29,0
Butembo,2026-05-29,7
Bambu,2026-05-29,14
Nizi,2026-05-29,6
Kilo,2026-05-29,8
Miti-Murhesa,2026-05-29,1
Aru,2026-05-29,4
Oicha,2026-05-29,0
Kalunguta,2026-05-29,13
Karisimbi,2026-05-29,ND
Damas,2026-05-29,1
Fataki,2026-05-29,ND
Mambasa,2026-05-29,ND
Rimba,2026-05-29,ND
Kyondo,2026-05-29,ND
Jiba,2026-05-29,2
Gethy,2026-05-29,3
Mongbalu,2026-05-30,346
Rwampara,2026-05-30,241
Bunia,2026-05-30,268
Nyankunde,2026-05-30,52
Goma,2026-05-30,0
Butembo,2026-05-30,7
Bambu,2026-05-30,14
Nizi,2026-05-30,6
Kilo,2026-05-30,8
Miti-Murhesa,2026-05-30,1
Aru,2026-05-30,4
Oicha,2026-05-30,0
Kalunguta,2026-05-30,13
Karisimbi,2026-05-30,ND
Damas,2026-05-30,1
Fataki,2026-05-30,ND
Mambasa,2026-05-30,ND
Rimba,2026-05-30,ND
Kyondo,2026-05-30,ND
Jiba,2026-05-30,2
Gethy,2026-05-30,3
