Mongbalu,2026-05-14,57
Mongbalu,2026-05-15,ND
Rwampara,2026-05-15,ND
Bunia,2026-05-15,ND
Mongbalu,2026-05-18,74
Rwampara,2026-05-18,38
Bunia,2026-05-18,18
Nyakunde,2026-05-18,1
Goma,2026-05-18,ND
Katwa,2026-05-18,ND
Butembo,2026-05-18,ND
Mongbalu,2026-05-19,77
Rwampara,2026-05-19,43
Bunia,2026-05-19,23
Nyakunde,2026-05-19,5
Goma,2026-05-19,ND
Katwa,2026-05-19,ND
Butembo,2026-05-19,ND
Mongbalu,2026-05-20,80
Rwampara,2026-05-20,44
Bunia,2026-05-20,31
Nyakunde,2026-05-20,5
Goma,2026-05-20,0
Katwa,2026-05-20,0
Butembo,2026-05-20,0
Bambu,2026-05-20,ND
Mongbalu,2026-05-21,84
Rwampara,2026-05-21,51
Bunia,2026-05-21,34
Nyakunde,2026-05-21,6
Goma,2026-05-21,0
Katwa,2026-05-21,0
Butembo,2026-05-21,0
Bambu,2026-05-21,0
Nizi,2026-05-21,0
Kilo,2026-05-21,0
Miti-Murhesa,2026-05-21,0
Mongbalu,2026-05-22,88
Rwampara,2026-05-22,63
Bunia,2026-05-22,42
Nyakunde,2026-05-22,8
Goma,2026-05-22,0
Katwa,2026-05-22,0
Butembo,2026-05-22,0
Bambu,2026-05-22,0
Nizi,2026-05-22,1
Kilo,2026-05-22,2
Miti-Murhesa,2026-05-22,0
Mongbalu,2026-05-23,88
Rwampara,2026-05-23,69
Bunia,2026-05-23,48
Nyakunde,2026-05-23,8
Goma,2026-05-23,0
Katwa,2026-05-23,0
Butembo,2026-05-23,0
Bambu,2026-05-23,2
Nizi,2026-05-23,2
Kilo,2026-05-23,2
Miti-Murhesa,2026-05-23,0
Aru,2026-05-23,1
Mongbalu,2026-05-24,88
Rwampara,2026-05-24,69
Bunia,2026-05-24,48
Nyakunde,2026-05-24,11
Goma,2026-05-24,0
Katwa,2026-05-24,0
Butembo,2026-05-24,0
Bambu,2026-05-24,2
Nizi,2026-05-24,2
Kilo,2026-05-24,2
Miti-Murhesa,2026-05-24,0
Aru,2026-05-24,1
Mongbalu,2026-05-25,88
Rwampara,2026-05-25,75
Bunia,2026-05-25,55
Nyankunde,2026-05-25,15
Goma,2026-05-25,0
Katwa,2026-05-25,0
Butembo,2026-05-25,0
Bambu,2026-05-25,2
Nizi,2026-05-25,2
Kilo,2026-05-25,0
Miti-Murhesa,2026-05-25,0
Aru,2026-05-25,1
Oicha,2026-05-25,0
Kalunguta,2026-05-25,0
Karisimbi,2026-05-25,0
Mongbalu,2026-05-26,88
Rwampara,2026-05-26,75
Bunia,2026-05-26,55
Nyankunde,2026-05-26,15
Goma,2026-05-26,0
Katwa,2026-05-26,0
Butembo,2026-05-26,0
Bambu,2026-05-26,2
Nizi,2026-05-26,2
Kilo,2026-05-26,0
Miti-Murhesa,2026-05-26,0
Aru,2026-05-26,1
Oicha,2026-05-26,0
Kalunguta,2026-05-26,0
Karisimbi,2026-05-26,0
Damas,2026-05-26,2
Fataki,2026-05-26,1
Mambasa,2026-05-26,1
Rimba,2026-05-26,4
Kyondo,2026-05-26,0
Mongbalu,2026-05-27,88
Rwampara,2026-05-27,69
Bunia,2026-05-27,48
Nyankunde,2026-05-27,11
Goma,2026-05-27,0
Katwa,2026-05-27,0
Butembo,2026-05-27,0
Bambu,2026-05-27,2
Nizi,2026-05-27,2
Kilo,2026-05-27,2
Miti-Murhesa,2026-05-27,0
Aru,2026-05-27,1
Oicha,2026-05-27,0
Kalunguta,2026-05-27,0
Karisimbi,2026-05-27,0
Damas,2026-05-27,ND
Fataki,2026-05-27,ND
Mambasa,2026-05-27,ND
Rimba,2026-05-27,ND
Kyondo,2026-05-27,0
Mongbalu,2026-05-28,88
Rwampara,2026-05-28,71
Bunia,2026-05-28,57
Nyankunde,2026-05-28,12
Goma,2026-05-28,0
Katwa,2026-05-28,0
Butembo,2026-05-28,0
Bambu,2026-05-28,3
Nizi,2026-05-28,2
Kilo,2026-05-28,2
Miti-Murhesa,2026-05-28,0
Aru,2026-05-28,1
Oicha,2026-05-28,0
Kalunguta,2026-05-28,0
Karisimbi,2026-05-28,0
Damas,2026-05-28,0
Fataki,2026-05-28,ND
Mambasa,2026-05-28,ND
Rimba,2026-05-28,ND
Kyondo,2026-05-28,0
Mongbalu,2026-05-29,88
Rwampara,2026-05-29,71
Bunia,2026-05-29,57
Nyankunde,2026-05-29,12
Goma,2026-05-29,0
Katwa,2026-05-29,0
Butembo,2026-05-29,0
Bambu,2026-05-29,3
Nizi,2026-05-29,2
Kilo,2026-05-29,2
Miti-Murhesa,2026-05-29,0
Aru,2026-05-29,1
Oicha,2026-05-29,0
Kalunguta,2026-05-29,0
Karisimbi,2026-05-29,0
Damas,2026-05-29,0
Fataki,2026-05-29,ND
Mambasa,2026-05-29,ND
Rimba,2026-05-29,ND
Kyondo,2026-05-29,0
Mongbalu,2026-05-30,88
Rwampara,2026-05-30,71
Bunia,2026-05-30,57
Nyankunde,2026-05-30,12
Goma,2026-05-30,0
Katwa,2026-05-30,0
Butembo,2026-05-30,0
Bambu,2026-05-30,3
Nizi,2026-05-30,2
Kilo,2026-05-30,2
Miti-Murhesa,2026-05-30,0
Aru,2026-05-30,1
Oicha,2026-05-30,0
Kalunguta,2026-05-30,0
Karisimbi,2026-05-30,0
Damas,2026-05-30,0
Fataki,2026-05-30,ND
Mambasa,2026-05-30,ND
Rimba,2026-05-30,ND
Kyondo,2026-05-30,0
