Mongbalu,2026-05-14,ND
Mongbalu,2026-05-15,0
Rwampara,2026-05-15,72
Bunia,2026-05-15,8
Mongbalu,2026-05-18,56
Rwampara,2026-05-18,64
Bunia,2026-05-18,53
Nyakunde,2026-05-18,14
Goma,2026-05-18,1
Katwa,2026-05-18,1
Butembo,2026-05-18,1
Mongbalu,2026-05-19,7
Rwampara,2026-05-19,18
Bunia,2026-05-19,29
Nyakunde,2026-05-19,5
Goma,2026-05-19,0
Katwa,2026-05-19,0
Butembo,2026-05-19,0
Mongbalu,2026-05-20,8
Rwampara,2026-05-20,25
Bunia,2026-05-20,35
Nyakunde,2026-05-20,9
Goma,2026-05-20,ND
Katwa,2026-05-20,12
Butembo,2026-05-20,6
Bambu,2026-05-20,2
Mongbalu,2026-05-21,5
Rwampara,2026-05-21,14
Bunia,2026-05-21,41
Nyakunde,2026-05-21,9
Goma,2026-05-21,0
Katwa,2026-05-21,13
Butembo,2026-05-21,0
Bambu,2026-05-21,0
Nizi,2026-05-21,1
Kilo,2026-05-21,1
Miti-Murhesa,2026-05-21,1
Mongbalu,2026-05-22,17
Rwampara,2026-05-22,28
Bunia,2026-05-22,61
Nyakunde,2026-05-22,7
Goma,2026-05-22,0
Katwa,2026-05-22,0
Butembo,2026-05-22,0
Bambu,2026-05-22,2
Nizi,2026-05-22,4
Kilo,2026-05-22,1
Miti-Murhesa,2026-05-22,5
Aru,2026-05-22,3
Mongbalu,2026-05-23,ND
Rwampara,2026-05-23,7
Bunia,2026-05-23,22
Nyakunde,2026-05-23,ND
Goma,2026-05-23,ND
Katwa,2026-05-23,ND
Butembo,2026-05-23,ND
Bambu,2026-05-23,2
Nizi,2026-05-23,1
Kilo,2026-05-23,ND
Miti-Murhesa,2026-05-23,ND
Aru,2026-05-23,1
Mongbalu,2026-05-24,ND
Rwampara,2026-05-24,ND
Bunia,2026-05-24,ND
Nyakunde,2026-05-24,ND
Goma,2026-05-24,ND
Katwa,2026-05-24,ND
Butembo,2026-05-24,ND
Bambu,2026-05-24,ND
Nizi,2026-05-24,1
Kilo,2026-05-24,1
Miti-Murhesa,2026-05-24,ND
Aru,2026-05-24,ND
Oicha,2026-05-24,ND
Kalunguta,2026-05-24,ND
Komanda,2026-05-24,ND
Mongbalu,2026-05-25,25
Rwampara,2026-05-25,12
Bunia,2026-05-25,21
Nyankunde,2026-05-25,21
Goma,2026-05-25,0
Katwa,2026-05-25,0
Butembo,2026-05-25,0
Bambu,2026-05-25,0
Nizi,2026-05-25,3
Kilo,2026-05-25,10
Miti-Murhesa,2026-05-25,0
Aru,2026-05-25,0
Oicha,2026-05-25,ND
Kalunguta,2026-05-25,ND
Karisimbi,2026-05-25,ND
Mongbalu,2026-05-26,11
Rwampara,2026-05-26,0
Bunia,2026-05-26,0
Nyankunde,2026-05-26,4
Goma,2026-05-26,0
Katwa,2026-05-26,0
Butembo,2026-05-26,3
Bambu,2026-05-26,4
Nizi,2026-05-26,6
Kilo,2026-05-26,0
Miti-Murhesa,2026-05-26,0
Aru,2026-05-26,0
Oicha,2026-05-26,8
Kalunguta,2026-05-26,2
Karisimbi,2026-05-26,5
Damas,2026-05-26,4
Fataki,2026-05-26,1
Mambasa,2026-05-26,5
Rimba,2026-05-26,14
Kyondo,2026-05-26,3
Mongbalu,2026-05-27,ND
Rwampara,2026-05-27,ND
Bunia,2026-05-27,ND
Nyankunde,2026-05-27,ND
Goma,2026-05-27,ND
Katwa,2026-05-27,ND
Butembo,2026-05-27,ND
Bambu,2026-05-27,ND
Nizi,2026-05-27,ND
Kilo,2026-05-27,ND
Miti-Murhesa,2026-05-27,ND
Aru,2026-05-27,ND
Oicha,2026-05-27,ND
Kalunguta,2026-05-27,ND
Karisimbi,2026-05-27,ND
Damas,2026-05-27,ND
Fataki,2026-05-27,ND
Mambasa,2026-05-27,ND
Rimba,2026-05-27,ND
Kyondo,2026-05-27,ND
Aru,2026-05-29,ND
Bambu,2026-05-29,8
Bunia,2026-05-29,19
Kilo,2026-05-29,ND
Mongbalu,2026-05-29,7
Nizi,2026-05-29,ND
Nyankunde,2026-05-29,7
Rwampara,2026-05-29,13
Mangala,2026-05-29,ND
Damas,2026-05-29,1
Aungba,2026-05-29,ND
Gethy,2026-05-29,3
Komanda,2026-05-29,ND
Jiba,2026-05-29,2
Lita,2026-05-29,ND
Butembo,2026-05-29,ND
Goma,2026-05-29,ND
Katwa,2026-05-29,ND
Karisimbi,2026-05-29,ND
Kyondo,2026-05-29,ND
Oicha,2026-05-29,ND
Kalunguta,2026-05-29,ND
Beni,2026-05-29,ND
Miti-Murhesa,2026-05-29,ND
