WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2026-05-02,Middle Africa,Democratic Republic of Congo,Ituri,Protests,Peaceful protest,1,0,,Demonstrations,710,2.1295,29.0513
2026-05-02,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Looting/property destruction,1,0,,Strategic developments,710,2.1295,29.0513
2026-05-02,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Abduction/forced disappearance,1,0,,Political violence,710,2.1295,29.0513
2026-05-02,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Attack,5,41,5257,Political violence,710,2.1295,29.0513
2026-05-02,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Armed clash,2,0,,Political violence,723,-0.5508,28.7185
2026-05-02,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Explosions/Remote violence,Air/drone strike,1,22,,Political violence,723,-0.5508,28.7185
2026-05-02,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Riots,Mob violence,2,1,,Political violence,723,-0.5508,28.7185
2026-05-02,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,723,-0.5508,28.7185
2026-05-02,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Looting/property destruction,1,0,,Strategic developments,723,-0.5508,28.7185
2026-05-02,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Other,1,0,,Strategic developments,723,-0.5508,28.7185
2026-05-02,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Abduction/forced disappearance,3,0,,Political violence,723,-0.5508,28.7185
2026-05-02,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Attack,5,6,,Political violence,723,-0.5508,28.7185
2026-05-02,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Sexual violence,1,1,,Political violence,723,-0.5508,28.7185
2026-05-02,Middle Africa,Democratic Republic of Congo,Tshopo,Violence against civilians,Attack,1,1,,Political violence,729,0.2052,25.633
2026-04-25,Middle Africa,Democratic Republic of Congo,Ituri,Battles,Armed clash,2,20,,Political violence,710,2.1295,29.0513
2026-04-25,Middle Africa,Democratic Republic of Congo,Ituri,Riots,Mob violence,1,0,,Political violence,710,2.1295,29.0513
2026-04-25,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Agreement,1,0,,Strategic developments,710,2.1295,29.0513
2026-04-25,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Change to group/activity,2,0,,Strategic developments,710,2.1295,29.0513
2026-04-25,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Headquarters or base established,1,0,,Strategic developments,710,2.1295,29.0513
2026-04-25,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Looting/property destruction,1,0,,Strategic developments,710,2.1295,29.0513
2026-04-25,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Abduction/forced disappearance,1,0,,Political violence,710,2.1295,29.0513
2026-04-25,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Attack,8,122,,Political violence,710,2.1295,29.0513
2026-04-25,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Sexual violence,1,3,,Political violence,710,2.1295,29.0513
2026-04-25,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Looting/property destruction,3,0,,Strategic developments,723,-0.5508,28.7185
2026-04-25,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Attack,3,3,,Political violence,723,-0.5508,28.7185
2026-04-18,Middle Africa,Democratic Republic of Congo,Ituri,Battles,Armed clash,7,28,,Political violence,710,2.1295,29.0513
2026-04-18,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Agreement,1,0,,Strategic developments,710,2.1295,29.0513
2026-04-18,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,710,2.1295,29.0513
2026-04-18,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Attack,3,13,,Political violence,710,2.1295,29.0513
2026-04-18,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Armed clash,3,2,1071,Political violence,723,-0.5508,28.7185
2026-04-18,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Explosions/Remote violence,Air/drone strike,3,0,,Political violence,723,-0.5508,28.7185
2026-04-18,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,134,Political violence,723,-0.5508,28.7185
2026-04-18,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Riots,Mob violence,1,1,,Political violence,723,-0.5508,28.7185
2026-04-18,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Abduction/forced disappearance,2,0,,Political violence,723,-0.5508,28.7185
2026-04-18,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Attack,5,8,,Political violence,723,-0.5508,28.7185
2026-04-18,Middle Africa,Democratic Republic of Congo,Tshopo,Riots,Mob violence,1,0,,Political violence,729,0.2052,25.633
2026-04-11,Middle Africa,Democratic Republic of Congo,Ituri,Battles,Armed clash,3,5,,Political violence,710,2.1295,29.0513
2026-04-11,Middle Africa,Democratic Republic of Congo,Ituri,Explosions/Remote violence,Shelling/artillery/missile attack,1,15,,Political violence,710,2.1295,29.0513
2026-04-11,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Arrests,1,0,,Strategic developments,710,2.1295,29.0513
2026-04-11,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Other,3,0,,Strategic developments,710,2.1295,29.0513
2026-04-11,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Abduction/forced disappearance,1,0,,Political violence,710,2.1295,29.0513
2026-04-11,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Attack,6,6,,Political violence,710,2.1295,29.0513
2026-04-11,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Sexual violence,1,0,,Political violence,710,2.1295,29.0513
2026-04-11,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Armed clash,6,2,6429,Political violence,723,-0.5508,28.7185
2026-04-11,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Non-state actor overtakes territory,1,0,,Political violence,723,-0.5508,28.7185
2026-04-11,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Protests,Peaceful protest,1,0,57611,Demonstrations,723,-0.5508,28.7185
2026-04-11,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Agreement,1,0,,Strategic developments,723,-0.5508,28.7185
2026-04-11,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Arrests,1,0,,Strategic developments,723,-0.5508,28.7185
2026-04-11,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Change to group/activity,2,0,,Strategic developments,723,-0.5508,28.7185
2026-04-11,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Looting/property destruction,1,0,,Strategic developments,723,-0.5508,28.7185
2026-04-11,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Other,2,0,,Strategic developments,723,-0.5508,28.7185
2026-04-11,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Abduction/forced disappearance,1,0,,Political violence,723,-0.5508,28.7185
2026-04-11,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Attack,3,0,,Political violence,723,-0.5508,28.7185
2026-04-11,Middle Africa,Democratic Republic of Congo,Tshopo,Battles,Armed clash,1,0,,Political violence,729,0.2052,25.633
2026-04-11,Middle Africa,Democratic Republic of Congo,Tshopo,Riots,Mob violence,3,4,,Political violence,729,0.2052,25.633
2026-04-04,Middle Africa,Democratic Republic of Congo,Ituri,Battles,Armed clash,7,9,,Political violence,710,2.1295,29.0513
2026-04-04,Middle Africa,Democratic Republic of Congo,Ituri,Battles,Government regains territory,6,17,,Political violence,710,2.1295,29.0513
2026-04-04,Middle Africa,Democratic Republic of Congo,Ituri,Riots,Mob violence,3,6,15542,Political violence,710,2.1295,29.0513
2026-04-04,Middle Africa,Democratic Republic of Congo,Ituri,Riots,Violent demonstration,2,0,,Demonstrations,710,2.1295,29.0513
2026-04-04,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Agreement,2,0,,Strategic developments,710,2.1295,29.0513
2026-04-04,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Change to group/activity,1,0,,Strategic developments,710,2.1295,29.0513
2026-04-04,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,710,2.1295,29.0513
2026-04-04,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Other,1,0,,Strategic developments,710,2.1295,29.0513
2026-04-04,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Attack,1,3,,Political violence,710,2.1295,29.0513
2026-04-04,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Armed clash,9,7,11052,Political violence,723,-0.5508,28.7185
2026-04-04,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,,Political violence,723,-0.5508,28.7185
2026-04-04,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Protests,Peaceful protest,1,0,,Demonstrations,723,-0.5508,28.7185
2026-04-04,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Change to group/activity,4,0,,Strategic developments,723,-0.5508,28.7185
2026-04-04,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Other,1,0,,Strategic developments,723,-0.5508,28.7185
2026-04-04,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Abduction/forced disappearance,1,0,,Political violence,723,-0.5508,28.7185
2026-04-04,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Attack,5,7,,Political violence,723,-0.5508,28.7185
2026-03-28,Middle Africa,Democratic Republic of Congo,Ituri,Battles,Armed clash,6,0,391,Political violence,710,2.1295,29.0513
2026-03-28,Middle Africa,Democratic Republic of Congo,Ituri,Protests,Excessive force against protesters,1,1,1530,Political violence; Demonstrations,710,2.1295,29.0513
2026-03-28,Middle Africa,Democratic Republic of Congo,Ituri,Protests,Peaceful protest,1,0,,Demonstrations,710,2.1295,29.0513
2026-03-28,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Looting/property destruction,1,0,,Strategic developments,710,2.1295,29.0513
2026-03-28,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Other,3,0,,Strategic developments,710,2.1295,29.0513
2026-03-28,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Abduction/forced disappearance,4,0,87490,Political violence,710,2.1295,29.0513
2026-03-28,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Attack,9,42,87971,Political violence,710,2.1295,29.0513
2026-03-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Armed clash,15,6,28448,Political violence,723,-0.5508,28.7185
2026-03-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Non-state actor overtakes territory,4,0,,Political violence,723,-0.5508,28.7185
2026-03-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Riots,Mob violence,1,1,118754,Political violence,723,-0.5508,28.7185
2026-03-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Change to group/activity,3,0,,Strategic developments,723,-0.5508,28.7185
2026-03-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Non-violent transfer of territory,10,0,,Strategic developments,723,-0.5508,28.7185
2026-03-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Other,2,0,,Strategic developments,723,-0.5508,28.7185
2026-03-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Abduction/forced disappearance,4,0,4564,Political violence,723,-0.5508,28.7185
2026-03-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Attack,7,3,,Political violence,723,-0.5508,28.7185
2026-03-28,Middle Africa,Democratic Republic of Congo,Tshopo,Strategic developments,Other,1,0,,Strategic developments,729,0.2052,25.633
2026-03-21,Middle Africa,Democratic Republic of Congo,Ituri,Battles,Armed clash,1,4,391,Political violence,710,2.1295,29.0513
2026-03-21,Middle Africa,Democratic Republic of Congo,Ituri,Battles,Government regains territory,2,0,5404,Political violence,710,2.1295,29.0513
2026-03-21,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Agreement,1,0,,Strategic developments,710,2.1295,29.0513
2026-03-21,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,710,2.1295,29.0513
2026-03-21,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Headquarters or base established,1,0,,Strategic developments,710,2.1295,29.0513
2026-03-21,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Other,2,0,,Strategic developments,710,2.1295,29.0513
2026-03-21,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Abduction/forced disappearance,2,0,,Political violence,710,2.1295,29.0513
2026-03-21,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Attack,2,3,,Political violence,710,2.1295,29.0513
2026-03-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Armed clash,6,7,6039,Political violence,723,-0.5508,28.7185
2026-03-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Non-state actor overtakes territory,1,1,,Political violence,723,-0.5508,28.7185
2026-03-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Protests,Peaceful protest,1,0,,Demonstrations,723,-0.5508,28.7185
2026-03-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Riots,Violent demonstration,1,0,,Demonstrations,723,-0.5508,28.7185
2026-03-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Arrests,1,0,,Strategic developments,723,-0.5508,28.7185
2026-03-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Change to group/activity,1,0,,Strategic developments,723,-0.5508,28.7185
2026-03-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Looting/property destruction,1,0,,Strategic developments,723,-0.5508,28.7185
2026-03-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Non-violent transfer of territory,21,0,,Strategic developments,723,-0.5508,28.7185
2026-03-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Abduction/forced disappearance,1,0,72918,Political violence,723,-0.5508,28.7185
