nom,date,cumulative_confirmed_deaths
Mongbalu,5/14/26,ND
Mongbalu,5/15/26,ND
Rwampara,5/15/26,ND
Bunia,5/15/26,ND
Mongbalu,5/18/26,ND
Rwampara,5/18/26,ND
Bunia,5/18/26,ND
Nyakunde,5/18/26,ND
Goma,5/18/26,ND
Katwa,5/18/26,ND
Butembo,5/18/26,ND
Mongbalu,5/19/26,0
Rwampara,5/19/26,0
Bunia,5/19/26,0
Nyakunde,5/19/26,0
Goma,5/19/26,ND
Katwa,5/19/26,ND
Butembo,5/19/26,ND
Mongbalu,5/20/26,0
Rwampara,5/20/26,0
Bunia,5/20/26,0
Nyakunde,5/20/26,0
Goma,5/20/26,ND
Katwa,5/20/26,ND
Butembo,5/20/26,ND
Bambu,5/20/26,ND
Mongbalu,5/21/26,0
Rwampara,5/21/26,1
Bunia,5/21/26,1
Nyakunde,5/21/26,0
Goma,5/21/26,0
Katwa,5/21/26,0
Butembo,5/21/26,0
Bambu,5/21/26,0
Nizi,5/21/26,0
Kilo,5/21/26,0
Miti-Murhesa,5/21/26,0
Mongbalu,5/22/26,0
Rwampara,5/22/26,2
Bunia,5/22/26,2
Nyakunde,5/22/26,0
Goma,5/22/26,0
Katwa,5/22/26,0
Butembo,5/22/26,0
Bambu,5/22/26,0
Nizi,5/22/26,0
Kilo,5/22/26,0
Miti-Murhesa,5/22/26,0
Komanda,5/22/26,1
Mongbalu,5/23/26,0
Rwampara,5/23/26,2
Bunia,5/23/26,2
Nyakunde,5/23/26,0
Goma,5/23/26,0
Katwa,5/23/26,0
Butembo,5/23/26,0
Bambu,5/23/26,0
Nizi,5/23/26,0
Kilo,5/23/26,0
Miti-Murhesa,5/23/26,0
Komanda,5/23/26,1
