nom,date,national_cumulative_confirmed_cases
Wembo Nyama,2026-05-14,8
Kole,2026-05-14,8
Pania Mutombo,2026-05-14,8
Minga,2026-05-14,8
Lusambo,2026-05-14,8
Dikungu,2026-05-14,8
Vanga Kete,2026-05-14,8
Lodja,2026-05-14,8
Omendjadi,2026-05-14,8
Djalo Djeka,2026-05-14,8
Katako Kombe,2026-05-14,8
Bena Dibele,2026-05-14,8
Kamiji,2026-05-14,8
Tshitenge,2026-05-14,8
Miabi,2026-05-14,8
Ngandajika,2026-05-14,8
Mulumba,2026-05-14,8
Tshilenge,2026-05-14,8
Cilundu,2026-05-14,8
Lubao,2026-05-14,8
Kalonda Est,2026-05-14,8
Kabinda,2026-05-14,8
Ludimbi Lukula,2026-05-14,8
Kalambayi Kabanga,2026-05-14,8
Makota,2026-05-14,8
Mwene Ditu,2026-05-14,8
Wikong,2026-05-14,8
Luputa,2026-05-14,8
Kanda Kanda,2026-05-14,8
Bonzola,2026-05-14,8
Dibindi,2026-05-14,8
Kansele,2026-05-14,8
Muya,2026-05-14,8
Diulu,2026-05-14,8
Bipemba,2026-05-14,8
Mpokolo,2026-05-14,8
Nzaba,2026-05-14,8
Kabeya Kamuanga,2026-05-14,8
Mukumbi,2026-05-14,8
Lukelenge,2026-05-14,8
Tshishimbi,2026-05-14,8
Lubilanji,2026-05-14,8
Kamana,2026-05-14,8
Kasansa,2026-05-14,8
Bibanga,2026-05-14,8
Kalenda,2026-05-14,8
Tshofa,2026-05-14,8
Pimu,2026-05-14,8
Nyanga,2026-05-14,8
Kalonda Ouest,2026-05-14,8
Kamonia,2026-05-14,8
Mutena,2026-05-14,8
Banga Lubaka,2026-05-14,8
Kamwesha,2026-05-14,8
Mweka,2026-05-14,8
Moba,2026-05-14,8
Bogosenubia,2026-05-14,8
Moanda,2026-05-14,8
Kitona,2026-05-14,8
Boma,2026-05-14,8
Boma Bungu,2026-05-14,8
Seke-Banza,2026-05-14,8
Inga,2026-05-14,8
Lukula,2026-05-14,8
Tshela,2026-05-14,8
Vaku,2026-05-14,8
Kizu,2026-05-14,8
Kibunzi,2026-05-14,8
Luozi,2026-05-14,8
Kimpangu,2026-05-14,8
Ngidinga,2026-05-14,8
Boko-Kivulu,2026-05-14,8
Mbanza-Ngungu,2026-05-14,8
Kwilu-Ngongo,2026-05-14,8
Kisantu,2026-05-14,8
Mikope,2026-05-14,8
Oshwe,2026-05-14,8
Bosobe,2026-05-14,8
Bokoro,2026-05-14,8
Masi-Manimba,2026-05-14,8
Yasa-Bonga,2026-05-14,8
Idiofa,2026-05-14,8
Ipamu,2026-05-14,8
Koshibanda,2026-05-14,8
Kingandu,2026-05-14,8
Bulungu,2026-05-14,8
Bagata,2026-05-14,8
Bandundu,2026-05-14,8
Kajiji,2026-05-14,8
Kikwit-Nord,2026-05-14,8
Lusanga,2026-05-14,8
Feshi,2026-05-14,8
Wamba Lwadi,2026-05-14,8
Panzi,2026-05-14,8
Tembo,2026-05-14,8
Moanza,2026-05-14,8
Kimbau,2026-05-14,8
Kenge,2026-05-14,8
Boko,2026-05-14,8
Viadana,2026-05-14,8
Poko,2026-05-14,8
Basali,2026-05-14,8
Basoko,2026-05-14,8
Bengamisa,2026-05-14,8
Yakusu,2026-05-14,8
Yahisuli,2026-05-14,8
Yabaondo,2026-05-14,8
Isangi,2026-05-14,8
Yaleko,2026-05-14,8
Banalia,2026-05-14,8
Bafwasende,2026-05-14,8
Bafwagbogbo,2026-05-14,8
Buta,2026-05-14,8
Titule,2026-05-14,8
Ganga,2026-05-14,8
Vanga,2026-05-14,8
Djuma,2026-05-14,8
Sia,2026-05-14,8
Mungindu,2026-05-14,8
Kimputu,2026-05-14,8
Mosango,2026-05-14,8
Pay Kongila,2026-05-14,8
Matadi,2026-05-14,8
Nzanza,2026-05-14,8
Ndjili,2026-05-14,8
Mont Ngafula I,2026-05-14,8
Biyela,2026-05-14,8
Kikimi,2026-05-14,8
Lemba,2026-05-14,8
Matete,2026-05-14,8
Kisenso,2026-05-14,8
Lingwala,2026-05-14,8
Barumbu,2026-05-14,8
Kinshasa,2026-05-14,8
Limete,2026-05-14,8
Kalamu II,2026-05-14,8
Kalamu I,2026-05-14,8
Bumbu,2026-05-14,8
Makala,2026-05-14,8
Ngaba,2026-05-14,8
Bandalungwa,2026-05-14,8
Selembao,2026-05-14,8
Masina I,2026-05-14,8
Kintambo,2026-05-14,8
Kasa-Vubu,2026-05-14,8
Ngiri-Ngiri,2026-05-14,8
Binza Meteo,2026-05-14,8
Binza Ozone,2026-05-14,8
Kikongo,2026-05-14,8
Mont Ngafula II,2026-05-14,8
Sona-Bata,2026-05-14,8
Nsele,2026-05-14,8
Kanzala,2026-05-14,8
Tshikapa,2026-05-14,8
Kingasani,2026-05-14,8
Kimbanseke,2026-05-14,8
Bwamanda,2026-05-14,8
Kungu,2026-05-14,8
Loko,2026-05-14,8
Bangabola,2026-05-14,8
Boso Mondanda,2026-05-14,8
Budjala,2026-05-14,8
