nom,date,national_cumulative_confirmed_deaths
Wembo Nyama,2026-05-14,4
Kole,2026-05-14,4
Pania Mutombo,2026-05-14,4
Minga,2026-05-14,4
Lusambo,2026-05-14,4
Dikungu,2026-05-14,4
Vanga Kete,2026-05-14,4
Lodja,2026-05-14,4
Omendjadi,2026-05-14,4
Djalo Djeka,2026-05-14,4
Katako Kombe,2026-05-14,4
Bena Dibele,2026-05-14,4
Kamiji,2026-05-14,4
Tshitenge,2026-05-14,4
Miabi,2026-05-14,4
Ngandajika,2026-05-14,4
Mulumba,2026-05-14,4
Tshilenge,2026-05-14,4
Cilundu,2026-05-14,4
Lubao,2026-05-14,4
Kalonda Est,2026-05-14,4
Kabinda,2026-05-14,4
Ludimbi Lukula,2026-05-14,4
Kalambayi Kabanga,2026-05-14,4
Makota,2026-05-14,4
Mwene Ditu,2026-05-14,4
Wikong,2026-05-14,4
Luputa,2026-05-14,4
Kanda Kanda,2026-05-14,4
Bonzola,2026-05-14,4
Dibindi,2026-05-14,4
Kansele,2026-05-14,4
Muya,2026-05-14,4
Diulu,2026-05-14,4
Bipemba,2026-05-14,4
Mpokolo,2026-05-14,4
Nzaba,2026-05-14,4
Kabeya Kamuanga,2026-05-14,4
Mukumbi,2026-05-14,4
Lukelenge,2026-05-14,4
Tshishimbi,2026-05-14,4
Lubilanji,2026-05-14,4
Kamana,2026-05-14,4
Kasansa,2026-05-14,4
Bibanga,2026-05-14,4
Kalenda,2026-05-14,4
Tshofa,2026-05-14,4
Pimu,2026-05-14,4
Nyanga,2026-05-14,4
Kalonda Ouest,2026-05-14,4
Kamonia,2026-05-14,4
Mutena,2026-05-14,4
Banga Lubaka,2026-05-14,4
Kamwesha,2026-05-14,4
Mweka,2026-05-14,4
Moba,2026-05-14,4
Bogosenubia,2026-05-14,4
Moanda,2026-05-14,4
Kitona,2026-05-14,4
Boma,2026-05-14,4
Boma Bungu,2026-05-14,4
Seke-Banza,2026-05-14,4
Inga,2026-05-14,4
Lukula,2026-05-14,4
Tshela,2026-05-14,4
Vaku,2026-05-14,4
Kizu,2026-05-14,4
Kibunzi,2026-05-14,4
Luozi,2026-05-14,4
Kimpangu,2026-05-14,4
Ngidinga,2026-05-14,4
Boko-Kivulu,2026-05-14,4
Mbanza-Ngungu,2026-05-14,4
Kwilu-Ngongo,2026-05-14,4
Kisantu,2026-05-14,4
Mikope,2026-05-14,4
Oshwe,2026-05-14,4
Bosobe,2026-05-14,4
Bokoro,2026-05-14,4
Masi-Manimba,2026-05-14,4
Yasa-Bonga,2026-05-14,4
Idiofa,2026-05-14,4
Ipamu,2026-05-14,4
Koshibanda,2026-05-14,4
Kingandu,2026-05-14,4
Bulungu,2026-05-14,4
Bagata,2026-05-14,4
Bandundu,2026-05-14,4
Kajiji,2026-05-14,4
Kikwit-Nord,2026-05-14,4
Lusanga,2026-05-14,4
Feshi,2026-05-14,4
Wamba Lwadi,2026-05-14,4
Panzi,2026-05-14,4
Tembo,2026-05-14,4
Moanza,2026-05-14,4
Kimbau,2026-05-14,4
Kenge,2026-05-14,4
Boko,2026-05-14,4
Viadana,2026-05-14,4
Poko,2026-05-14,4
Basali,2026-05-14,4
Basoko,2026-05-14,4
Bengamisa,2026-05-14,4
Yakusu,2026-05-14,4
Yahisuli,2026-05-14,4
Yabaondo,2026-05-14,4
Isangi,2026-05-14,4
Yaleko,2026-05-14,4
Banalia,2026-05-14,4
Bafwasende,2026-05-14,4
Bafwagbogbo,2026-05-14,4
Buta,2026-05-14,4
Titule,2026-05-14,4
Ganga,2026-05-14,4
Vanga,2026-05-14,4
Djuma,2026-05-14,4
Sia,2026-05-14,4
Mungindu,2026-05-14,4
Kimputu,2026-05-14,4
Mosango,2026-05-14,4
Pay Kongila,2026-05-14,4
Matadi,2026-05-14,4
Nzanza,2026-05-14,4
Ndjili,2026-05-14,4
Mont Ngafula I,2026-05-14,4
Biyela,2026-05-14,4
Kikimi,2026-05-14,4
Lemba,2026-05-14,4
Matete,2026-05-14,4
Kisenso,2026-05-14,4
Lingwala,2026-05-14,4
Barumbu,2026-05-14,4
Kinshasa,2026-05-14,4
Limete,2026-05-14,4
Kalamu II,2026-05-14,4
Kalamu I,2026-05-14,4
Bumbu,2026-05-14,4
Makala,2026-05-14,4
Ngaba,2026-05-14,4
Bandalungwa,2026-05-14,4
Selembao,2026-05-14,4
Masina I,2026-05-14,4
Kintambo,2026-05-14,4
Kasa-Vubu,2026-05-14,4
Ngiri-Ngiri,2026-05-14,4
Binza Meteo,2026-05-14,4
Binza Ozone,2026-05-14,4
Kikongo,2026-05-14,4
Mont Ngafula II,2026-05-14,4
