nom,date,national_cumulative_suspected_cases_daily
Wembo Nyama,5/14/26,246
Kole,5/14/26,246
Pania Mutombo,5/14/26,246
Minga,5/14/26,246
Lusambo,5/14/26,246
Dikungu,5/14/26,246
Vanga Kete,5/14/26,246
Lodja,5/14/26,246
Omendjadi,5/14/26,246
Djalo Djeka,5/14/26,246
Katako Kombe,5/14/26,246
Bena Dibele,5/14/26,246
Kamiji,5/14/26,246
Tshitenge,5/14/26,246
Miabi,5/14/26,246
Ngandajika,5/14/26,246
Mulumba,5/14/26,246
Tshilenge,5/14/26,246
Cilundu,5/14/26,246
Lubao,5/14/26,246
Kalonda Est,5/14/26,246
Kabinda,5/14/26,246
Ludimbi Lukula,5/14/26,246
Kalambayi Kabanga,5/14/26,246
Makota,5/14/26,246
Mwene Ditu,5/14/26,246
Wikong,5/14/26,246
Luputa,5/14/26,246
Kanda Kanda,5/14/26,246
Bonzola,5/14/26,246
Dibindi,5/14/26,246
Kansele,5/14/26,246
Muya,5/14/26,246
Diulu,5/14/26,246
Bipemba,5/14/26,246
Mpokolo,5/14/26,246
Nzaba,5/14/26,246
Kabeya Kamuanga,5/14/26,246
Mukumbi,5/14/26,246
Lukelenge,5/14/26,246
Tshishimbi,5/14/26,246
Lubilanji,5/14/26,246
Kamana,5/14/26,246
Kasansa,5/14/26,246
Bibanga,5/14/26,246
Kalenda,5/14/26,246
Tshofa,5/14/26,246
Pimu,5/14/26,246
Nyanga,5/14/26,246
Kalonda Ouest,5/14/26,246
Kamonia,5/14/26,246
Mutena,5/14/26,246
Banga Lubaka,5/14/26,246
Kamwesha,5/14/26,246
Mweka,5/14/26,246
Moba,5/14/26,246
Bogosenubia,5/14/26,246
Moanda,5/14/26,246
Kitona,5/14/26,246
Boma,5/14/26,246
Boma Bungu,5/14/26,246
Seke-Banza,5/14/26,246
Inga,5/14/26,246
Lukula,5/14/26,246
Tshela,5/14/26,246
Vaku,5/14/26,246
Kizu,5/14/26,246
Kibunzi,5/14/26,246
Luozi,5/14/26,246
Kimpangu,5/14/26,246
Ngidinga,5/14/26,246
Boko-Kivulu,5/14/26,246
Mbanza-Ngungu,5/14/26,246
Kwilu-Ngongo,5/14/26,246
Kisantu,5/14/26,246
Mikope,5/14/26,246
Oshwe,5/14/26,246
Bosobe,5/14/26,246
Bokoro,5/14/26,246
Masi-Manimba,5/14/26,246
Yasa-Bonga,5/14/26,246
Idiofa,5/14/26,246
Ipamu,5/14/26,246
Koshibanda,5/14/26,246
Kingandu,5/14/26,246
Bulungu,5/14/26,246
Bagata,5/14/26,246
Bandundu,5/14/26,246
Kajiji,5/14/26,246
Kikwit-Nord,5/14/26,246
Lusanga,5/14/26,246
Feshi,5/14/26,246
Wamba Lwadi,5/14/26,246
Panzi,5/14/26,246
Tembo,5/14/26,246
Moanza,5/14/26,246
Kimbau,5/14/26,246
Kenge,5/14/26,246
Boko,5/14/26,246
Viadana,5/14/26,246
Poko,5/14/26,246
Basali,5/14/26,246
Basoko,5/14/26,246
Bengamisa,5/14/26,246
Yakusu,5/14/26,246
Yahisuli,5/14/26,246
Yabaondo,5/14/26,246
Isangi,5/14/26,246
Yaleko,5/14/26,246
Banalia,5/14/26,246
Bafwasende,5/14/26,246
Bafwagbogbo,5/14/26,246
Buta,5/14/26,246
Titule,5/14/26,246
Ganga,5/14/26,246
Vanga,5/14/26,246
Djuma,5/14/26,246
Sia,5/14/26,246
Mungindu,5/14/26,246
Kimputu,5/14/26,246
Mosango,5/14/26,246
Pay Kongila,5/14/26,246
Matadi,5/14/26,246
Nzanza,5/14/26,246
Ndjili,5/14/26,246
Mont Ngafula I,5/14/26,246
Biyela,5/14/26,246
Kikimi,5/14/26,246
Lemba,5/14/26,246
Matete,5/14/26,246
Kisenso,5/14/26,246
Lingwala,5/14/26,246
Barumbu,5/14/26,246
Kinshasa,5/14/26,246
Limete,5/14/26,246
Kalamu II,5/14/26,246
Kalamu I,5/14/26,246
Bumbu,5/14/26,246
Makala,5/14/26,246
Ngaba,5/14/26,246
Bandalungwa,5/14/26,246
Selembao,5/14/26,246
Masina I,5/14/26,246
Kintambo,5/14/26,246
Kasa-Vubu,5/14/26,246
Ngiri-Ngiri,5/14/26,246
Binza Meteo,5/14/26,246
Binza Ozone,5/14/26,246
Kikongo,5/14/26,246
Mont Ngafula II,5/14/26,246
Sona-Bata,5/14/26,246
Nsele,5/14/26,246
Kanzala,5/14/26,246
Tshikapa,5/14/26,246
Kingasani,5/14/26,246
Kimbanseke,5/14/26,246
Bwamanda,5/14/26,246
Kungu,5/14/26,246
Loko,5/14/26,246
Bangabola,5/14/26,246
