nom,date,national_cumulative_suspected_deaths
Wembo Nyama,2026-05-14,ND
Kole,2026-05-14,ND
Pania Mutombo,2026-05-14,ND
Minga,2026-05-14,ND
Lusambo,2026-05-14,ND
Dikungu,2026-05-14,ND
Vanga Kete,2026-05-14,ND
Lodja,2026-05-14,ND
Omendjadi,2026-05-14,ND
Djalo Djeka,2026-05-14,ND
Katako Kombe,2026-05-14,ND
Bena Dibele,2026-05-14,ND
Kamiji,2026-05-14,ND
Tshitenge,2026-05-14,ND
Miabi,2026-05-14,ND
Ngandajika,2026-05-14,ND
Mulumba,2026-05-14,ND
Tshilenge,2026-05-14,ND
Cilundu,2026-05-14,ND
Lubao,2026-05-14,ND
Kalonda Est,2026-05-14,ND
Kabinda,2026-05-14,ND
Ludimbi Lukula,2026-05-14,ND
Kalambayi Kabanga,2026-05-14,ND
Makota,2026-05-14,ND
Mwene Ditu,2026-05-14,ND
Wikong,2026-05-14,ND
Luputa,2026-05-14,ND
Kanda Kanda,2026-05-14,ND
Bonzola,2026-05-14,ND
Dibindi,2026-05-14,ND
Kansele,2026-05-14,ND
Muya,2026-05-14,ND
Diulu,2026-05-14,ND
Bipemba,2026-05-14,ND
Mpokolo,2026-05-14,ND
Nzaba,2026-05-14,ND
Kabeya Kamuanga,2026-05-14,ND
Mukumbi,2026-05-14,ND
Lukelenge,2026-05-14,ND
Tshishimbi,2026-05-14,ND
Lubilanji,2026-05-14,ND
Kamana,2026-05-14,ND
Kasansa,2026-05-14,ND
Bibanga,2026-05-14,ND
Kalenda,2026-05-14,ND
Tshofa,2026-05-14,ND
Pimu,2026-05-14,ND
Nyanga,2026-05-14,ND
Kalonda Ouest,2026-05-14,ND
Kamonia,2026-05-14,ND
Mutena,2026-05-14,ND
Banga Lubaka,2026-05-14,ND
Kamwesha,2026-05-14,ND
Mweka,2026-05-14,ND
Moba,2026-05-14,ND
Bogosenubia,2026-05-14,ND
Moanda,2026-05-14,ND
Kitona,2026-05-14,ND
Boma,2026-05-14,ND
Boma Bungu,2026-05-14,ND
Seke-Banza,2026-05-14,ND
Inga,2026-05-14,ND
Lukula,2026-05-14,ND
Tshela,2026-05-14,ND
Vaku,2026-05-14,ND
Kizu,2026-05-14,ND
Kibunzi,2026-05-14,ND
Luozi,2026-05-14,ND
Kimpangu,2026-05-14,ND
Ngidinga,2026-05-14,ND
Boko-Kivulu,2026-05-14,ND
Mbanza-Ngungu,2026-05-14,ND
Kwilu-Ngongo,2026-05-14,ND
Kisantu,2026-05-14,ND
Mikope,2026-05-14,ND
Oshwe,2026-05-14,ND
Bosobe,2026-05-14,ND
Bokoro,2026-05-14,ND
Masi-Manimba,2026-05-14,ND
Yasa-Bonga,2026-05-14,ND
Idiofa,2026-05-14,ND
Ipamu,2026-05-14,ND
Koshibanda,2026-05-14,ND
Kingandu,2026-05-14,ND
Bulungu,2026-05-14,ND
Bagata,2026-05-14,ND
Bandundu,2026-05-14,ND
Kajiji,2026-05-14,ND
Kikwit-Nord,2026-05-14,ND
Lusanga,2026-05-14,ND
Feshi,2026-05-14,ND
Wamba Lwadi,2026-05-14,ND
Panzi,2026-05-14,ND
