nom,date,new_contacts_isolated
Mongbalu,5/14/26,ND
Mongbalu,5/15/26,3
Rwampara,5/15/26,5
Bunia,5/15/26,4
Mongbalu,5/18/26,9
Rwampara,5/18/26,46
Bunia,5/18/26,9
Nyakunde,5/18/26,3
Mongbalu,5/19/26,4
Rwampara,5/19/26,13
Bunia,5/19/26,30
Nyakunde,5/19/26,5
Komanda,5/19/26,2
Mangala,5/19/26,1
Mongbalu,5/20/26,6
Rwampara,5/20/26,25
Bunia,5/20/26,30
Nyakunde,5/20/26,9
Bambu,5/20/26,ND
Mongbalu,5/21/26,1
Rwampara,5/21/26,12
Bunia,5/21/26,41
Nyakunde,5/21/26,9
Nizi,5/21/26,ND
Kilo,5/21/26,ND
Mongbalu,5/22/26,7
Rwampara,5/22/26,8
Bunia,5/22/26,28
Nyakunde,5/22/26,6
Nizi,5/22/26,1
Kilo,5/22/26,ND
Bambu,5/22/26,0
Komanda,5/22/26,1
Tchomia,5/22/26,1
Ada,5/22/26,5
Mongbalu,5/23/26,ND
Rwampara,5/23/26,3
Bunia,5/23/26,22
Nyakunde,5/23/26,ND
Nizi,5/23/26,0
Kilo,5/23/26,8
Aru,5/23/26,1
Bambu,5/23/26,ND
,,
,,
